# r/g(r)/dn[At1,At2]:      g(r)[ C, C]            dn(r)
          2.710      1.5253401454      3.0210612245
          2.729      1.3569110963      3.0728163265
          2.747      1.0598809462      3.1137959184
          2.766      0.8894312788      3.1486530612
          2.784      0.7789225503      3.1795918367
          2.803      0.6185350485      3.2044897959
          2.822      0.5123328400      3.2253877551
          2.840      0.5214368926      3.2469387755
          2.859      0.5595033264      3.2703673469
          2.878      0.5734517100      3.2946938776
          2.896      0.6705813853      3.3235102041
          2.915      0.7520613725      3.3562448980
          2.933      0.7906865869      3.3911020408
          2.952      0.9379862307      3.4329795918
          2.971      1.0382073976      3.4799183673
          2.989      1.0681061501      3.5288163265
          3.008      1.1359320297      3.5814693878
          3.027      1.1515663345      3.6355102041
          3.045      1.2217203408      3.6935510204
          3.064      1.2629287948      3.7542857143
          3.082      1.1319976546      3.8093877551
          3.101      1.1267257073      3.8648979592
          3.120      0.9970695462      3.9146122449
          3.138      0.9723272531      3.9636734694
          3.157      1.0056550815      4.0150204082
          3.176      0.9907329360      4.0662040816
          3.194      1.0573000706      4.1214693878
          3.213      1.0620576583      4.1776326531
          3.231      1.0147534967      4.2319183673
          3.250      1.1087518557      4.2919183673
          3.269      1.2273925710      4.3591020408
          3.287      1.3241123225      4.4324081633
          3.306      1.2567487852      4.5027755102
          3.325      1.3205564435      4.5775510204
          3.343      1.3757399725      4.6563265306
          3.362      1.5635619552      4.7468571429
          3.380      1.3135167557      4.8237551020
          3.399      1.2770950872      4.8993469388
          3.418      1.2891328290      4.9764897959
          3.436      1.2873411219      5.0543673469
          3.455      1.4056544223      5.1403265306
          3.474      1.3536432574      5.2240000000
          3.492      1.2464758622      5.3018775510
          3.511      1.2384567747      5.3800816327
          3.529      1.2254205086      5.4582857143
          3.548      1.2417012600      5.5383673469
          3.567      1.1962002803      5.6163265306
          3.585      0.9805124465      5.6808979592
          3.604      1.0305176928      5.7494693878
          3.623      1.0053776826      5.8170612245
          3.641      0.9362289345      5.8806530612
          3.660      0.9576546139      5.9463673469
          3.678      0.9114753009      6.0095510204
          3.697      0.8743360684      6.0707755102
          3.716      0.7444097916      6.1234285714
          3.734      0.7758525499      6.1788571429
          3.753      0.7840094799      6.2354285714
          3.772      0.8311741718      6.2960000000
          3.790      0.9882960845      6.3687346939
          3.809      1.0566390425      6.4472653061
          3.827      1.0594330553      6.5267755102
          3.846      1.1429138483      6.6133877551
          3.865      1.0721809604      6.6954285714
          3.883      0.9615403484      6.7697142857
          3.902      0.8163281921      6.8333877551
          3.921      0.6800453792      6.8869387755
          3.939      0.5534855466      6.9309387755
          3.958      0.5025130567      6.9712653061
          3.976      0.5119248731      7.0127346939
          3.995      0.5441018398      7.0572244898
          4.014      0.5489549766      7.1025306122
          4.032      0.5154757538      7.1454693878
          4.051      0.5185146617      7.1890612245
          4.070      0.5580375517      7.2364081633
          4.088      0.5796593569      7.2860408163
          4.107      0.5451260710      7.3331428571
          4.125      0.6375848439      7.3887346939
          4.144      0.6995997666      7.4502857143
          4.163      0.7200208196      7.5142040816
          4.181      0.7354941076      7.5800816327
          4.200      0.7687317661      7.6495510204
          4.219      0.7959828572      7.7221224490
          4.237      0.8138510088      7.7969795918
          4.256      0.8137812936      7.8724897959
          4.274      0.8311241571      7.9502857143
          4.293      0.8343030754      8.0290612245
          4.312      0.8142542068      8.1066122449
          4.330      0.8777944069      8.1909387755
          4.349      0.8349073660      8.2718367347
          4.368      0.7476111240      8.3448979592
          4.386      0.7205694558      8.4159183673
          4.405      0.6890299430      8.4844081633
          4.423      0.7508308755      8.5596734694
          4.442      0.9004021765      8.6506938776
          4.461      0.8936996748      8.7417959184
          4.479      0.9379035555      8.8382040816
          4.498      1.0160004290      8.9435102041
          4.517      1.0248228627      9.0506122449
          4.535      1.0497353575      9.1612244898
          4.554      1.0934165409      9.2773877551
          4.572      1.1134883929      9.3966530612
          4.591      1.0039283164      9.5050612245
          4.610      0.9133460664      9.6044897959
          4.628      0.9833704522      9.7124081633
          4.647      0.9607455348      9.8186938776
          4.666      0.9077049833      9.9199183673
          4.684      0.7828549134     10.0079183673
