# r/g(r)/dn[At1,At2]:      g(r)[ N, H]            dn(r)
          2.710      1.8171429093      0.9997083333
          2.729      1.7895454886      1.0515833333
          2.747      1.7554370773      1.1031666667
          2.766      1.7080927209      1.1540416667
          2.784      1.6756565504      1.2046250000
          2.803      1.5240731613      1.2512500000
          2.822      1.4636976101      1.2966250000
          2.840      1.4803802331      1.3431250000
          2.859      1.4166393193      1.3882083333
          2.878      1.3996527423      1.4333333333
          2.896      1.2987806840      1.4757500000
          2.915      1.2948315702      1.5185833333
          2.933      1.2871468584      1.5617083333
          2.952      1.2537648640      1.6042500000
          2.971      1.2744718433      1.6480416667
          2.989      1.2370839420      1.6910833333
          3.008      1.1745003054      1.7324583333
          3.027      1.2710748352      1.7777916667
          3.045      1.1655605304      1.8198750000
          3.064      1.1730933131      1.8627500000
          3.082      1.1938750443      1.9069166667
          3.101      1.1473058567      1.9498750000
          3.120      1.1116563916      1.9920000000
          3.138      1.0604716407      2.0326666667
          3.157      1.1102740784      2.0757500000
          3.176      1.1461041110      2.1207500000
          3.194      1.0729919925      2.1633750000
          3.213      1.1383432889      2.2091250000
          3.231      1.0299502033      2.2510000000
          3.250      1.0597171428      2.2945833333
          3.269      1.0707118643      2.3391250000
          3.287      1.1091180367      2.3857916667
          3.306      1.1779262234      2.4359166667
          3.325      1.1637969572      2.4860000000
          3.343      1.1432063397      2.5357500000
          3.362      1.1987496926      2.5885000000
          3.380      1.2089886156      2.6422916667
          3.399      1.1624311198      2.6945833333
          3.418      1.1140654078      2.7452500000
          3.436      1.1917420819      2.8000416667
          3.455      1.1520320844      2.8535833333
          3.474      1.1725275851      2.9086666667
          3.492      1.1784814899      2.9646250000
          3.511      1.1894526712      3.0217083333
          3.529      1.1889592777      3.0793750000
          3.548      1.1433564695      3.1354166667
          3.567      1.2752959611      3.1985833333
          3.585      1.2004750614      3.2586666667
          3.604      1.1955144606      3.3191250000
          3.623      1.1734671930      3.3790833333
          3.641      1.2656158772      3.4444166667
          3.660      1.2527670960      3.5097500000
          3.678      1.2788665220      3.5771250000
          3.697      1.3137730303      3.6470416667
          3.716      1.3796966805      3.7212083333
          3.734      1.3621314791      3.7951666667
          3.753      1.3045767349      3.8667083333
          3.772      1.2729160060      3.9372083333
          3.790      1.2410681277      4.0066250000
          3.809      1.2112561333      4.0750416667
          3.827      1.1381336671      4.1399583333
          3.846      1.0736018883      4.2017916667
          3.865      1.0496654644      4.2628333333
          3.883      0.9693666510      4.3197500000
          3.902      0.9341280821      4.3751250000
          3.921      0.9078684016      4.4294583333
          3.939      0.8551660658      4.4811250000
          3.958      0.8013637044      4.5300000000
          3.976      0.8209459688      4.5805416667
          3.995      0.8327536457      4.6322916667
          4.014      0.8509501671      4.6856666667
          4.032      0.8503471620      4.7395000000
          4.051      0.8171129808      4.7917083333
          4.070      0.8109431536      4.8440000000
          4.088      0.8893706062      4.9018750000
          4.107      0.8825910609      4.9598333333
          4.125      0.8947609620      5.0191250000
          4.144      0.8848668171      5.0782916667
          4.163      0.9276079876      5.1408750000
          4.181      0.9462946991      5.2052916667
          4.200      0.9700742710      5.2719166667
          4.219      0.9771620087      5.3396250000
          4.237      0.9626299107      5.4069166667
          4.256      0.9701756656      5.4753333333
          4.274      0.9336252240      5.5417500000
          4.293      0.9249612983      5.6081250000
          4.312      0.9411642397      5.6762500000
          4.330      0.9148234002      5.7430416667
          4.349      0.9420850906      5.8124166667
          4.368      0.8482341737      5.8754166667
          4.386      0.8399332973      5.9383333333
          4.405      0.8328452949      6.0012500000
          4.423      0.8045168225      6.0625416667
          4.442      0.8059196277      6.1244583333
          4.461      0.8572884587      6.1908750000
          4.479      0.8757752995      6.2592916667
          4.498      0.8748849403      6.3282083333
          4.517      0.8566677343      6.3962500000
