# r/g(r)/dn[At1,At2]:      g(r)[ H, N]            dn(r)
          2.710      1.8171429093      1.2627894737
          2.729      1.7895454886      1.3283157895
          2.747      1.7554370773      1.3934736842
          2.766      1.7080927209      1.4577368421
          2.784      1.6756565504      1.5216315789
          2.803      1.5240731613      1.5805263158
          2.822      1.4636976101      1.6378421053
          2.840      1.4803802331      1.6965789474
          2.859      1.4166393193      1.7535263158
          2.878      1.3996527423      1.8105263158
          2.896      1.2987806840      1.8641052632
          2.915      1.2948315702      1.9182105263
          2.933      1.2871468584      1.9726842105
          2.952      1.2537648640      2.0264210526
          2.971      1.2744718433      2.0817368421
          2.989      1.2370839420      2.1361052632
          3.008      1.1745003054      2.1883684211
          3.027      1.2710748352      2.2456315789
          3.045      1.1655605304      2.2987894737
          3.064      1.1730933131      2.3529473684
          3.082      1.1938750443      2.4087368421
          3.101      1.1473058567      2.4630000000
          3.120      1.1116563916      2.5162105263
          3.138      1.0604716407      2.5675789474
          3.157      1.1102740784      2.6220000000
          3.176      1.1461041110      2.6788421053
          3.194      1.0729919925      2.7326842105
          3.213      1.1383432889      2.7904736842
          3.231      1.0299502033      2.8433684211
          3.250      1.0597171428      2.8984210526
          3.269      1.0707118643      2.9546842105
          3.287      1.1091180367      3.0136315789
          3.306      1.1779262234      3.0769473684
          3.325      1.1637969572      3.1402105263
          3.343      1.1432063397      3.2030526316
          3.362      1.1987496926      3.2696842105
          3.380      1.2089886156      3.3376315789
          3.399      1.1624311198      3.4036842105
          3.418      1.1140654078      3.4676842105
          3.436      1.1917420819      3.5368947368
          3.455      1.1520320844      3.6045263158
          3.474      1.1725275851      3.6741052632
          3.492      1.1784814899      3.7447894737
          3.511      1.1894526712      3.8168947368
          3.529      1.1889592777      3.8897368421
          3.548      1.1433564695      3.9605263158
          3.567      1.2752959611      4.0403157895
          3.585      1.2004750614      4.1162105263
          3.604      1.1955144606      4.1925789474
          3.623      1.1734671930      4.2683157895
          3.641      1.2656158772      4.3508421053
          3.660      1.2527670960      4.4333684211
          3.678      1.2788665220      4.5184736842
          3.697      1.3137730303      4.6067894737
          3.716      1.3796966805      4.7004736842
          3.734      1.3621314791      4.7938947368
          3.753      1.3045767349      4.8842631579
          3.772      1.2729160060      4.9733157895
          3.790      1.2410681277      5.0610000000
          3.809      1.2112561333      5.1474210526
          3.827      1.1381336671      5.2294210526
          3.846      1.0736018883      5.3075263158
          3.865      1.0496654644      5.3846315789
          3.883      0.9693666510      5.4565263158
          3.902      0.9341280821      5.5264736842
          3.921      0.9078684016      5.5951052632
          3.939      0.8551660658      5.6603684211
          3.958      0.8013637044      5.7221052632
          3.976      0.8209459688      5.7859473684
          3.995      0.8327536457      5.8513157895
          4.014      0.8509501671      5.9187368421
          4.032      0.8503471620      5.9867368421
          4.051      0.8171129808      6.0526842105
          4.070      0.8109431536      6.1187368421
          4.088      0.8893706062      6.1918421053
          4.107      0.8825910609      6.2650526316
          4.125      0.8947609620      6.3399473684
          4.144      0.8848668171      6.4146842105
          4.163      0.9276079876      6.4937368421
          4.181      0.9462946991      6.5751052632
          4.200      0.9700742710      6.6592631579
          4.219      0.9771620087      6.7447894737
          4.237      0.9626299107      6.8297894737
          4.256      0.9701756656      6.9162105263
          4.274      0.9336252240      7.0001052632
          4.293      0.9249612983      7.0839473684
          4.312      0.9411642397      7.1700000000
          4.330      0.9148234002      7.2543684211
          4.349      0.9420850906      7.3420000000
          4.368      0.8482341737      7.4215789474
          4.386      0.8399332973      7.5010526316
          4.405      0.8328452949      7.5805263158
