# r/g(r)/dn[At1,At2]:      g(r)[ H, C]            dn(r)
          2.710      1.0981546884      1.4727894737
          2.729      1.1577281272      1.5169473684
          2.747      1.1488896103      1.5613684211
          2.766      1.1133239239      1.6050000000
          2.784      1.1832840589      1.6520000000
          2.803      1.1663041372      1.6989473684
          2.822      1.1728935560      1.7467894737
          2.840      1.1231788091      1.7932105263
          2.859      1.1500702200      1.8413684211
          2.878      1.1191018492      1.8888421053
          2.896      1.0153454023      1.9324736842
          2.915      1.0810080222      1.9795263158
          2.933      1.0470286793      2.0256842105
          2.952      1.0633301381      2.0731578947
          2.971      1.0733211398      2.1216842105
          2.989      1.0956276446      2.1718421053
          3.008      1.1309266989      2.2242631579
          3.027      1.1249012292      2.2770526316
          3.045      1.0901337618      2.3288421053
          3.064      1.1382083224      2.3835789474
          3.082      1.0877327951      2.4365263158
          3.101      1.1751260763      2.4944210526
          3.120      1.1695812765      2.5527368421
          3.138      1.0941981158      2.6079473684
          3.157      1.0689555614      2.6625263158
          3.176      1.0279280427      2.7156315789
          3.194      1.0109409600      2.7684736842
          3.213      1.0201546414      2.8224210526
          3.231      0.9739946998      2.8745263158
          3.250      0.9696715790      2.9270000000
          3.269      1.0124987927      2.9824210526
          3.287      1.0457398631      3.0403157895
          3.306      1.0114303173      3.0969473684
          3.325      0.9899051656      3.1530000000
          3.343      0.9522506676      3.2075263158
          3.362      0.9626357721      3.2632631579
          3.380      0.9322791221      3.3178421053
          3.399      0.9469877106      3.3738947368
          3.418      0.9199834867      3.4289473684
          3.436      0.9613688217      3.4871052632
          3.455      0.9346790427      3.5442631579
          3.474      0.9664039764      3.6040000000
          3.492      0.9763407631      3.6650000000
          3.511      0.9976816449      3.7280000000
          3.529      1.0168694493      3.7928947368
          3.548      1.0486576511      3.8605263158
          3.567      1.0546933141      3.9292631579
          3.585      1.1708378130      4.0063684211
          3.604      1.0978629280      4.0794210526
          3.623      1.2173396982      4.1612631579
          3.641      1.2219650439      4.2442631579
          3.660      1.2318024221      4.3287894737
          3.678      1.2421376653      4.4148947368
          3.697      1.2003407081      4.4989473684
          3.716      1.2166134324      4.5850000000
          3.734      1.2089281391      4.6713684211
          3.753      1.1400648219      4.7536315789
          3.772      1.1692771709      4.8388421053
          3.790      1.1492320660      4.9234210526
          3.809      1.1146507111      5.0062631579
          3.827      1.0947121875      5.0884210526
          3.846      1.0549657801      5.1683684211
          3.865      1.0688961955      5.2501578947
          3.883      1.0109798724      5.3282631579
          3.902      1.0701776168      5.4117368421
          3.921      1.0540185051      5.4947368421
          3.939      1.0771782109      5.5803684211
          3.958      0.9680309587      5.6580526316
          3.976      1.0311027225      5.7415789474
          3.995      1.0253731846      5.8254210526
          4.014      1.0114150557      5.9088947368
          4.032      1.0014614874      5.9923157895
          4.051      1.0079248389      6.0770526316
          4.070      1.0235330321      6.1638947368
          4.088      0.9625948125      6.2463157895
          4.107      0.9276914006      6.3264736842
          4.125      0.9706427279      6.4111052632
          4.144      0.9571517120      6.4953157895
          4.163      0.9325980492      6.5781052632
          4.181      0.9342976900      6.6617894737
          4.200      0.9766991684      6.7500526316
          4.219      0.9894532035      6.8402631579
          4.237      0.9590297344      6.9284736842
          4.256      0.9143521596      7.0133157895
          4.274      0.9170847119      7.0991578947
          4.293      0.9927569551      7.1928947368
          4.312      1.0433280496      7.2922631579
          4.330      1.0190322291      7.3901578947
          4.349      1.0461727622      7.4915263158
          4.368      1.0555803051      7.5946842105
          4.386      1.0194008993      7.6951578947
          4.405      1.0690424267      7.8014210526
          4.423      1.1141382117      7.9131052632
          4.442      1.0704521698      8.0213157895
          4.461      1.0697927346      8.1303684211
          4.479      1.1494950825      8.2485263158
          4.498      1.0749976795      8.3599473684
          4.517      1.1527715531      8.4804210526
          4.535      1.1233432329      8.5987894737
          4.554      1.1547966110      8.7214736842
          4.572      1.1743995253      8.8472631579
          4.591      1.1346713588      8.9697894737
          4.610      1.1583968712      9.0958947368
          4.628      1.1620414013      9.2234210526
          4.647      1.1536966223      9.3510526316
          4.666      1.1185460496      9.4757894737
          4.684      1.1644498621      9.6066842105
          4.703      1.1097224619      9.7324210526
          4.721      1.1719563301      9.8662631579
          4.740      1.1380735342      9.9972631579
          4.759      1.1110356163     10.1261578947
          4.777      1.1329988944     10.2586315789
          4.796      1.0987569978     10.3881052632
          4.815      1.0743172238     10.5156842105
          4.833      1.0387862465     10.6400000000
          4.852      1.0011496145     10.7607368421
          4.870      1.0437456690     10.8875789474
          4.889      0.9945480573     11.0093684211
          4.908      1.0228430013     11.1355789474
          4.926      1.0235898859     11.2628421053
          4.945      1.0205152761     11.3906842105
          4.964      0.9628320895     11.5122105263
          4.982      0.9821350703     11.6371052632
          5.001      0.9781194001     11.7624210526
          5.019      0.9798448017     11.8888947368
          5.038      0.9750420059     12.0156842105
          5.057      0.9718903478     12.1430000000
          5.075      0.9795270222     12.2722631579
          5.094      0.9929650131     12.4042631579
          5.113      1.0183657735     12.5406315789
          5.131      1.0472741593     12.6818947368
          5.150      1.0521086239     12.8248421053
          5.168      1.0210796951     12.9645789474
          5.187      0.9961959527     13.1018947368
          5.206      0.9780863043     13.2376842105
