# r/g(r)/dn[At1,At2]:      g(r)[ N, C]            dn(r)
          3.101      1.7143041885      1.8220416667
          3.120      1.5819167334      1.9009166667
          3.138      1.6044848999      1.9818750000
          3.157      1.5325647839      2.0601250000
          3.176      1.4001147407      2.1324583333
          3.194      1.2786120807      2.1992916667
          3.213      1.0739408434      2.2560833333
          3.231      1.1083289014      2.3153750000
          3.250      1.0502343966      2.3722083333
          3.269      1.0108962305      2.4275416667
          3.287      1.0348467396      2.4848333333
          3.306      1.0864729323      2.5456666667
          3.325      0.9470325123      2.5992916667
          3.343      0.9146799668      2.6516666667
          3.362      0.8189373098      2.6990833333
          3.380      0.8206138993      2.7471250000
          3.399      0.8700727463      2.7986250000
          3.418      0.8278898562      2.8481666667
          3.436      0.7962105882      2.8963333333
          3.455      0.8694121666      2.9495000000
          3.474      0.8574174486      3.0025000000
          3.492      0.8316235872      3.0544583333
          3.511      0.8360202673      3.1072500000
          3.529      0.7704181216      3.1564166667
          3.548      0.8069291414      3.2084583333
          3.567      0.8260149143      3.2622916667
          3.585      0.7832891649      3.3138750000
          3.604      0.7658213514      3.3648333333
          3.623      0.7300776293      3.4139166667
          3.641      0.8091224362      3.4688750000
          3.660      0.8379477871      3.5263750000
          3.678      0.7555514940      3.5787500000
          3.697      0.7479580759      3.6311250000
          3.716      0.7446021456      3.6837916667
          3.734      0.7523570153      3.7375416667
          3.753      0.6871631911      3.7871250000
          3.772      0.7598676612      3.8425000000
          3.790      0.8311133785      3.9036666667
          3.809      0.8342176224      3.9656666667
          3.827      0.7533889689      4.0222083333
          3.846      0.7516081360      4.0791666667
          3.865      0.8010129711      4.1404583333
          3.883      0.7938871594      4.2017916667
          3.902      0.8573735399      4.2686666667
          3.921      0.8132662863      4.3327083333
          3.939      0.8564350219      4.4007916667
          3.958      0.8753924946      4.4710416667
          3.976      0.8528092303      4.5401250000
          3.995      0.8438570276      4.6091250000
          4.014      0.7885870120      4.6742083333
          4.032      0.7578093826      4.7373333333
          4.051      0.7582912802      4.8010833333
          4.070      0.7921266877      4.8682916667
          4.088      0.7669204732      4.9339583333
          4.107      0.7165801873      4.9958750000
          4.125      0.6824077138      5.0553750000
          4.144      0.7226993942      5.1189583333
          4.163      0.6913705659      5.1803333333
          4.181      0.6977852244      5.2428333333
          4.200      0.6943766151      5.3055833333
          4.219      0.7380730151      5.3728750000
          4.237      0.7293337205      5.4399583333
          4.256      0.7449672876      5.5090833333
          4.274      0.7732103706      5.5814583333
          4.293      0.7643095142      5.6536250000
          4.312      0.8189683101      5.7316250000
          4.330      0.8696243900      5.8151666667
          4.349      0.9447557462      5.9067083333
          4.368      0.9870259294      6.0031666667
          4.386      0.9207448930      6.0939166667
          4.405      0.9586656052      6.1892083333
          4.423      0.9202666119      6.2814583333
          4.442      0.8787669523      6.3702916667
          4.461      0.8714439369      6.4591250000
          4.479      0.7794933524      6.5392500000
          4.498      0.7766693202      6.6197500000
          4.517      0.7483488404      6.6979583333
          4.535      0.7200710041      6.7738333333
          4.554      0.7706694457      6.8557083333
          4.572      0.7457314141      6.9355833333
          4.591      0.7134546733      7.0126250000
          4.610      0.7429138532      7.0935000000
          4.628      0.7631441931      7.1772500000
          4.647      0.7822737080      7.2637916667
          4.666      0.7285888034      7.3450416667
          4.684      0.6964888173      7.4233333333
          4.703      0.7362149959      7.5067500000
          4.721      0.8037517386      7.5985416667
          4.740      0.8611567869      7.6976666667
          4.759      0.8680769125      7.7983750000
          4.777      0.9151318046      7.9053750000
          4.796      0.8832859862      8.0094583333
          4.815      0.9599715787      8.1234583333
          4.833      0.9828778208      8.2410833333
          4.852      1.0309717114      8.3654166667
          4.870      1.0632166506      8.4946250000
          4.889      1.1126345218      8.6308750000
          4.908      1.0609827894      8.7617916667
          4.926      1.1478169256      8.9045000000
          4.945      1.1129106313      9.0439166667
          4.964      1.1474895791      9.1887500000
          4.982      1.1159904646      9.3306666667
          5.001      1.0855783388      9.4697500000
          5.019      1.1459726016      9.6176666667
          5.038      1.1458463755      9.7666666667
          5.057      1.0820767587      9.9084166667
          5.075      1.1252994678     10.0569166667
          5.094      1.0945182531     10.2024166667
          5.113      1.0865581555     10.3479166667
          5.131      1.1067946309     10.4972083333
          5.150      1.1306971869     10.6508333333
          5.168      1.0918117380     10.8002500000
          5.187      1.0773349485     10.9487500000
          5.206      1.0789435565     11.0985416667
          5.224      1.0584508224     11.2465416667
          5.243      1.0802356271     11.3986666667
          5.262      1.1031549099     11.5551250000
          5.280      1.0443362874     11.7042916667
          5.299      0.9947162688     11.8473750000
          5.317      1.0139355981     11.9942500000
          5.336      1.0742801686     12.1509583333
          5.355      1.0923487133     12.3114166667
          5.373      1.0664793692     12.4691666667
          5.392      1.0831826609     12.6305000000
          5.411      1.1174118757     12.7980833333
          5.429      1.1436968093     12.9707916667
          5.448      1.1769958270     13.1497500000
          5.466      1.1967508732     13.3329583333
          5.485      1.1634967268     13.5122916667
          5.504      1.1279795222     13.6873333333
          5.522      1.1683887451     13.8698750000
          5.541      1.2254488769     14.0626250000
          5.560      1.1859391324     14.2504166667
          5.578      1.1767260084     14.4380000000
          5.597      1.1470973509     14.6220833333
          5.615      1.1240253697     14.8036666667
          5.634      1.0940587410     14.9815833333
          5.653      1.1006058587     15.1617500000
          5.671      1.0804926757     15.3397916667
          5.690      1.0623773109     15.5160000000
          5.709      1.0302491488     15.6880000000
          5.727      1.0399242889     15.8627500000
          5.746      1.0208758929     16.0354166667
          5.764      0.9922611290     16.2043333333
          5.783      1.0170079850     16.3785833333
          5.802      1.0119384941     16.5530833333
          5.820      1.0129150644     16.7288750000
          5.839      0.9838006763     16.9007083333
          5.858      1.0140585555     17.0789583333
          5.876      0.9789045945     17.2521250000
          5.895      1.0085388279     17.4316666667
          5.913      0.9870780073     17.6085000000
          5.932      1.0137090319     17.7912500000
          5.951      1.0057656161     17.9737083333
          5.969      1.0451488384     18.1645000000
          5.988      1.0688257196     18.3608333333
          6.007      1.0574736775     18.5562916667
          6.025      1.0397443554     18.7496666667
          6.044      1.0489318606     18.9459583333
          6.063      1.0449309049     19.1427083333
          6.081      0.9795969420     19.3282916667
          6.100      0.9428018603     19.5080000000
          6.118      0.9140403072     19.6832916667
          6.137      0.9056933389     19.8580416667
          6.156      0.9186803534     20.0363750000
          6.174      0.9573099954     20.2233333333
          6.193      0.9541052493     20.4107916667
          6.212      0.9779041504     20.6040833333
          6.230      0.9523689740     20.7934583333
          6.249      0.9979406628     20.9930833333
          6.267      1.0054769986     21.1954166667
          6.286      1.0252566347     21.4029583333
          6.305      0.9770563976     21.6019166667
          6.323      0.9993803629     21.8066250000
          6.342      0.9823966765     22.0090416667
          6.361      0.9583570550     22.2076666667
          6.379      0.9923427735     22.4145416667
          6.398      1.0026685095     22.6247916667
          6.416      0.9988314917     22.8354583333
          6.435      0.9857906799     23.0445833333
          6.454      1.0125253382     23.2606250000
          6.472      0.9568077851     23.4659583333
          6.491      0.9575020939     23.6726250000
          6.510      1.0028952100     23.8903333333
          6.528      1.0082499061     24.1104583333
          6.547      1.0154251553     24.3334166667
          6.565      0.9717456694     24.5480000000
          6.584      1.0187148048     24.7740416667
          6.603      1.0043065856     24.9965416667
          6.621      1.0279576174     25.2236250000
          6.640      1.0179184767     25.4478333333
          6.659      1.0213238505     25.6721250000
          6.677      1.0670301145     25.9057500000
          6.696      1.0977782019     26.1453750000
          6.714      1.1025194334     26.3852916667
          6.733      1.1248054649     26.6292916667
          6.752      1.0553570305     26.8575000000
          6.770      1.0083081798     27.0748333333
          6.789      1.0218845623     27.2943750000
          6.808      1.0540700394     27.5200833333
          6.826      1.0376959762     27.7415416667
          6.845      0.9877461592     27.9516250000
          6.863      0.9964603903     28.1628333333
          6.882      1.0161184120     28.3774583333
          6.901      0.9832906837     28.5844166667
          6.919      0.9536393436     28.7844166667
          6.938      0.9618907378     28.9854166667
          6.957      1.0004552466     29.1937083333
          6.975      0.9883175073     29.3987083333
          6.994      0.9716864584     29.5995000000
          7.012      1.0069811579     29.8067916667
          7.031      0.9907689973     30.0099583333
          7.050      1.0277061809     30.2198750000
          7.068      1.0166384791     30.4267083333
          7.087      1.0513725519     30.6397500000
          7.106      1.0104462683     30.8436666667
          7.124      1.0046705629     31.0455833333
          7.143      0.9568285774     31.2370833333
          7.161      0.9249242883     31.4214166667
          7.180      0.9841160776     31.6167083333
          7.199      0.9803809298     31.8104166667
          7.217      1.0056662035     32.0082500000
          7.236      1.0018526551     32.2044583333
          7.255      1.0392880131     32.4070833333
          7.273      1.0622887594     32.6132500000
          7.292      1.0840309605     32.8226666667
          7.310      1.1040660713     33.0349583333
          7.329      1.1110504983     33.2475833333
          7.348      1.0481362887     33.4472083333
          7.366      1.0846769685     33.6527916667
          7.385      1.1242685919     33.8648333333
          7.404      1.1398740236     34.0787500000
          7.422      1.1326959163     34.2902500000
          7.441      1.1147219783     34.4973333333
          7.459      1.0546708467     34.6922500000
          7.478      1.0769813387     34.8902500000
          7.497      1.0241541432     35.0775416667
          7.515      0.9822534214     35.2562083333
          7.534      0.9947519241     35.4361666667
          7.553      0.9759307674     35.6117500000
          7.571      0.9823233367     35.7875000000
