# r/g(r)/dn[At1,At2]:      g(r)[ H, H]            dn(r)
          3.101      1.8218785115      2.9638918919
          3.120      1.8601009667      3.0343783784
          3.138      1.7253220490      3.1005405405
          3.157      1.4459275362      3.1566486486
          3.176      1.4978513787      3.2154594595
          3.194      1.5022057981      3.2751351351
          3.213      1.4014517288      3.3314594595
          3.231      1.4172513649      3.3890810811
          3.250      1.3274530278      3.4436756757
          3.269      1.3123684975      3.4982702703
          3.287      1.2949702482      3.5527567568
          3.306      1.1559348799      3.6019459459
          3.325      1.1053375786      3.6495135135
          3.343      1.1824880460      3.7009729730
          3.362      1.1743355513      3.7526486486
          3.380      1.0933972867      3.8012972973
          3.399      1.1367217032      3.8524324324
          3.418      1.1576454913      3.9050810811
          3.436      1.1169137588      3.9564324324
          3.455      0.9955767017      4.0027027027
          3.474      1.0102425184      4.0501621622
          3.492      1.0245396624      4.0988108108
          3.511      0.9393602157      4.1438918919
          3.529      0.8759774963      4.1863783784
          3.548      0.9991416889      4.2353513514
          3.567      0.8599585401      4.2779459459
          3.585      0.9612080561      4.3260540541
          3.604      0.9106815315      4.3721081081
          3.623      0.9711635030      4.4217297297
          3.641      0.9675364621      4.4716756757
          3.660      0.9432030259      4.5208648649
          3.678      0.9767685335      4.5723243243
          3.697      0.9019466811      4.6203243243
          3.716      0.8868939973      4.6680000000
          3.734      0.9238642498      4.7181621622
          3.753      0.8536045856      4.7649729730
          3.772      0.8022518359      4.8094054054
          3.790      0.7634616560      4.8521081081
          3.809      0.7674970555      4.8954594595
          3.827      0.7467780561      4.9380540541
          3.846      0.7001445403      4.9783783784
          3.865      0.7194386373      5.0202162162
          3.883      0.7236014603      5.0627027027
          3.902      0.6729415163      5.1025945946
          3.921      0.6683693754      5.1425945946
          3.939      0.7121661953      5.1856216216
          3.958      0.6859810683      5.2274594595
          3.976      0.6830820672      5.2695135135
          3.995      0.7341366518      5.3151351351
          4.014      0.7342333488      5.3611891892
          4.032      0.6916052560      5.4049729730
          4.051      0.7275603168      5.4514594595
          4.070      0.6823553547      5.4954594595
          4.088      0.7010717802      5.5410810811
          4.107      0.7243601999      5.5886486486
          4.125      0.6688912169      5.6329729730
          4.144      0.7130133530      5.6806486486
          4.163      0.7002377064      5.7278918919
          4.181      0.7400692224      5.7782702703
          4.200      0.7838904509      5.8321081081
          4.219      0.8284708617      5.8895135135
          4.237      0.8536805995      5.9491891892
          4.256      0.9228757295      6.0142702703
          4.274      0.9026932886      6.0784864865
          4.293      0.9009039245      6.1431351351
          4.312      1.0036595988      6.2157837838
          4.330      0.9906023849      6.2881081081
          4.349      1.0423264308      6.3648648649
          4.368      1.0378223353      6.4419459459
          4.386      0.9669681347      6.5143783784
          4.405      0.9845671386      6.5887567568
          4.423      0.9663602952      6.6623783784
          4.442      0.9554593323      6.7357837838
          4.461      1.0382001912      6.8162162162
          4.479      1.0157459707      6.8955675676
          4.498      0.9963721168      6.9740540541
          4.517      0.9514213874      7.0496216216
          4.535      0.9584724687      7.1263783784
          4.554      0.9479703649      7.2029189189
          4.572      0.9057338870      7.2766486486
          4.591      0.9010346539      7.3505945946
          4.610      0.9172885029      7.4264864865
          4.628      0.8204841073      7.4949189189
          4.647      0.8216351537      7.5640000000
          4.666      0.8010570409      7.6318918919
          4.684      0.8238047145      7.7022702703
          4.703      0.8022271596      7.7713513514
          4.721      0.9204660679      7.8512432432
          4.740      0.8934741677      7.9294054054
          4.759      0.9723232248      8.0151351351
          4.777      0.9221758657      8.0970810811
          4.796      0.9041628118      8.1780540541
          4.815      0.9055657626      8.2597837838
          4.833      0.9318813846      8.3445405405
          4.852      0.9955115279      8.4357837838
          4.870      0.9410917550      8.5227027027
          4.889      0.9606522500      8.6121081081
          4.908      1.0455994886      8.7101621622
          4.926      1.0365640988      8.8081081081
          4.945      1.0094667814      8.9042162162
          4.964      1.0661444133      9.0064864865
          4.982      1.0078515033      9.1038918919
          5.001      1.0292253810      9.2041081081
          5.019      1.0480507546      9.3069189189
          5.038      1.0851667394      9.4141621622
          5.057      1.0663288622      9.5203243243
          5.075      0.9906080348      9.6196756757
          5.094      1.0229692578      9.7230270270
          5.113      0.9677273928      9.8215135135
          5.131      0.9396234704      9.9178378378
          5.150      0.9213226814     10.0129729730
          5.168      0.9417195539     10.1109189189
          5.187      0.9504485227     10.2104864865
          5.206      0.9467334435     10.3103783784
          5.224      0.9501682635     10.4113513514
          5.243      0.9939343016     10.5177297297
          5.262      0.9738716143     10.6227027027
          5.280      0.9620339203     10.7271351351
          5.299      0.9068264573     10.8262702703
          5.317      0.9908281405     10.9353513514
          5.336      1.0112275622     11.0474594595
          5.355      0.9606282888     11.1547027027
          5.373      0.9972556879     11.2668108108
          5.392      1.0553209154     11.3862702703
          5.411      1.0490163570     11.5058378378
          5.429      0.9881384063     11.6192432432
          5.448      1.0216221725     11.7372972973
          5.466      0.9998053940     11.8536216216
          5.485      1.0262510327     11.9738378378
          5.504      1.0028171961     12.0921081081
          5.522      1.0079004735     12.2117837838
          5.541      1.0400239171     12.3361081081
          5.560      1.0887630616     12.4671351351
          5.578      0.9547937252     12.5828108108
          5.597      0.9564272177     12.6994594595
          5.615      1.0645623564     12.8301621622
          5.634      1.0024282553     12.9540540541
          5.653      0.9445644489     13.0715675676
          5.671      0.9582257338     13.1915675676
          5.690      0.9296646141     13.3087567568
          5.709      0.9372407818     13.4276756757
          5.727      0.8998341619     13.5425945946
          5.746      0.9066253941     13.6591351351
          5.764      0.8807218313     13.7730810811
          5.783      0.9082670789     13.8913513514
          5.802      0.8818222764     14.0069189189
          5.820      0.9237263609     14.1287567568
          5.839      0.9398319082     14.2535135135
          5.858      0.9265815677     14.3772972973
          5.876      0.9625313756     14.5067027027
          5.895      0.9268939227     14.6321081081
          5.913      0.9631475362     14.7632432432
          5.932      1.0076077578     14.9012972973
          5.951      1.0020943413     15.0394594595
          5.969      0.9584479368     15.1724324324
          5.988      0.9772752174     15.3088648649
          6.007      0.9404403521     15.4409729730
          6.025      0.9866443424     15.5804324324
          6.044      1.0482246193     15.7295135135
          6.063      0.9873999380     15.8708108108
          6.081      0.9708489150     16.0105945946
          6.100      1.0500040804     16.1627027027
          6.118      1.0169186378     16.3109189189
          6.137      1.0704719224     16.4678918919
          6.156      1.0258990133     16.6192432432
