# r/g(r)/dn[At1,At2]:      g(r)[Si,Si]            dn(r)            g(r)[Si, H]            dn(r)            g(r)[Si, C]            dn(r)            g(r)[Si, N]            dn(r)            g(r)[ H,Si]            dn(r)            g(r)[ H, H]            dn(r)            g(r)[ H, C]            dn(r)            g(r)[ H, N]            dn(r)            g(r)[ C,Si]            dn(r)            g(r)[ C, H]            dn(r)            g(r)[ C, C]            dn(r)            g(r)[ C, N]            dn(r)            g(r)[ N,Si]            dn(r)            g(r)[ N, H]            dn(r)            g(r)[ N, C]            dn(r)            g(r)[ N, N]            dn(r)            
       0.419067          -0.4610688884        0.0000000000       -0.4610688884        0.0000000000       -0.4610688884        0.0000000000       -0.4610688884        0.0000000000       -0.4610688884        0.0000000000       -0.4610688884        0.0000000000       -0.4610688884        0.0000000000       -0.4610688884        0.0000000000       -0.4610688884        0.0000000000       -0.4610688884        0.0000000000       -0.4610688884        0.0000000000       -0.4610688884        0.0000000000       -0.4610688884        0.0000000000       -0.4610688884        0.0000000000       -0.4610688884        0.0000000000       -0.4610688884        0.0000000000
       0.437692          -0.4815608390        0.0000000000       -0.4815608390        0.0000000000       -0.4815608390        0.0000000000       -0.4815608390        0.0000000000       -0.4815608390        0.0000000000       -0.4815608390        0.0000000000       -0.4815608390        0.0000000000       -0.4815608390        0.0000000000       -0.4815608390        0.0000000000       -0.4815608390        0.0000000000       -0.4815608390        0.0000000000       -0.4815608390        0.0000000000       -0.4815608390        0.0000000000       -0.4815608390        0.0000000000       -0.4815608390        0.0000000000       -0.4815608390        0.0000000000
       0.456317          -0.5020527896        0.0000000000       -0.5020527896        0.0000000000       -0.5020527896        0.0000000000       -0.5020527896        0.0000000000       -0.5020527896        0.0000000000       -0.5020527896        0.0000000000       -0.5020527896        0.0000000000       -0.5020527896        0.0000000000       -0.5020527896        0.0000000000       -0.5020527896        0.0000000000       -0.5020527896        0.0000000000       -0.5020527896        0.0000000000       -0.5020527896        0.0000000000       -0.5020527896        0.0000000000       -0.5020527896        0.0000000000       -0.5020527896        0.0000000000
       0.474942          -0.5225447402        0.0000000000       -0.5225447402        0.0000000000       -0.5225447402        0.0000000000       -0.5225447402        0.0000000000       -0.5225447402        0.0000000000       -0.5225447402        0.0000000000       -0.5225447402        0.0000000000       -0.5225447402        0.0000000000       -0.5225447402        0.0000000000       -0.5225447402        0.0000000000       -0.5225447402        0.0000000000       -0.5225447402        0.0000000000       -0.5225447402        0.0000000000       -0.5225447402        0.0000000000       -0.5225447402        0.0000000000       -0.5225447402        0.0000000000
       0.493568          -0.5430366908        0.0000000000       -0.5430366908        0.0000000000       -0.5430366908        0.0000000000       -0.5430366908        0.0000000000       -0.5430366908        0.0000000000       -0.5430366908        0.0000000000       -0.5430366908        0.0000000000       -0.5430366908        0.0000000000       -0.5430366908        0.0000000000       -0.5430366908        0.0000000000       -0.5430366908        0.0000000000       -0.5430366908        0.0000000000       -0.5430366908        0.0000000000       -0.5430366908        0.0000000000       -0.5430366908        0.0000000000       -0.5430366908        0.0000000000
       0.512193          -0.5635286414        0.0000000000       -0.5635286414        0.0000000000       -0.5635286414        0.0000000000       -0.5635286414        0.0000000000       -0.5635286414        0.0000000000       -0.5635286414        0.0000000000       -0.5635286414        0.0000000000       -0.5635286414        0.0000000000       -0.5635286414        0.0000000000       -0.5635286414        0.0000000000       -0.5635286414        0.0000000000       -0.5635286414        0.0000000000       -0.5635286414        0.0000000000       -0.5635286414        0.0000000000       -0.5635286414        0.0000000000       -0.5635286414        0.0000000000
       0.530818          -0.5840205920        0.0000000000       -0.5840205920        0.0000000000       -0.5840205920        0.0000000000       -0.5840205920        0.0000000000       -0.5840205920        0.0000000000       -0.5840205920        0.0000000000       -0.5840205920        0.0000000000       -0.5840205920        0.0000000000       -0.5840205920        0.0000000000       -0.5840205920        0.0000000000       -0.5840205920        0.0000000000       -0.5840205920        0.0000000000       -0.5840205920        0.0000000000       -0.5840205920        0.0000000000       -0.5840205920        0.0000000000       -0.5840205920        0.0000000000
       0.549443          -0.6045125426        0.0000000000       -0.6045125426        0.0000000000       -0.6045125426        0.0000000000       -0.6045125426        0.0000000000       -0.6045125426        0.0000000000       -0.6045125426        0.0000000000       -0.6045125426        0.0000000000       -0.6045125426        0.0000000000       -0.6045125426        0.0000000000       -0.6045125426        0.0000000000       -0.6045125426        0.0000000000       -0.6045125426        0.0000000000       -0.6045125426        0.0000000000       -0.6045125426        0.0000000000       -0.6045125426        0.0000000000       -0.6045125426        0.0000000000
       0.568068          -0.6250044932        0.0000000000       -0.6250044932        0.0000000000       -0.6250044932        0.0000000000       -0.6250044932        0.0000000000       -0.6250044932        0.0000000000       -0.6250044932        0.0000000000       -0.6250044932        0.0000000000       -0.6250044932        0.0000000000       -0.6250044932        0.0000000000       -0.6250044932        0.0000000000       -0.6250044932        0.0000000000       -0.6250044932        0.0000000000       -0.6250044932        0.0000000000       -0.6250044932        0.0000000000       -0.6250044932        0.0000000000       -0.6250044932        0.0000000000
       0.586694          -0.6454964438        0.0000000000       -0.6454964438        0.0000000000       -0.6454964438        0.0000000000       -0.6454964438        0.0000000000       -0.6454964438        0.0000000000       -0.6454964438        0.0000000000       -0.6454964438        0.0000000000       -0.6454964438        0.0000000000       -0.6454964438        0.0000000000       -0.6454964438        0.0000000000       -0.6454964438        0.0000000000       -0.6454964438        0.0000000000       -0.6454964438        0.0000000000       -0.6454964438        0.0000000000       -0.6454964438        0.0000000000       -0.6454964438        0.0000000000
